feature,importance_mean,importance_std
sector,0.41121822223341736,0.0805472522913261
announcement_year,0.10238957214072848,0.0757944809095173
date_precision,0.06597500786640823,0.026303229622749193
geography,0.03951521828665895,0.04551844219840528
ownership_equal_50_50_flag,0.027830326456811334,0.05145262878914134
equity_JV_flag,0.007878116107420959,0.010680420855396422
partner_count,7.620845809893639e-05,0.0017080029311222012
cross_border,7.007280827175943e-05,0.006848687068491956
cross_border_binary,-0.0006406742377433513,0.006727760982999965
deal_or_investment_value,-0.0029073733585734877,0.0049374849785289625
deal_value_reported_flag,-0.006047562894943155,0.03522351306030163
currency,-0.01048278125572994,0.031745524947456215
subsector,-0.029666196550041712,0.015622709124333419
