dataset,input_file,rows,features,target,positive_count,positive_rate,cv_folds,best_model,best_cv_average_precision_mean,best_cv_f1_mean,best_cv_roc_auc_mean,best_holdout_average_precision,best_holdout_f1,best_holdout_precision,best_holdout_recall,best_holdout_balanced_accuracy,best_holdout_threshold,cv_metrics_file,holdout_metrics_file,holdout_predictions_file,feature_importance_file,best_model_file,graph_count
event_level,/Users/wangjingzhou/Downloads/JVproject/passive_partner_event_level_model_data.xlsx,438,"['announcement_year', 'date_precision', 'sector', 'subsector', 'geography', 'cross_border', 'cross_border_binary', 'partner_count', 'deal_or_investment_value', 'currency', 'deal_value_reported_flag', 'ownership_equal_50_50_flag', 'equity_JV_flag']",label_event_has_passive_financial_partner,46,0.1050228310502283,5,logistic_regression_balanced,0.5360847067040252,0.45456047893118834,0.8478224963035089,0.715552203787498,0.64,0.6153846153846154,0.6666666666666666,0.8078231292517006,0.7103083252017437,/Users/wangjingzhou/Downloads/JVproject/results/event_level_cv_metrics.csv,/Users/wangjingzhou/Downloads/JVproject/results/event_level_holdout_metrics.csv,/Users/wangjingzhou/Downloads/JVproject/results/event_level_holdout_predictions.csv,/Users/wangjingzhou/Downloads/JVproject/results/event_level_feature_importance.csv,/Users/wangjingzhou/Downloads/JVproject/results/event_level_best_model.joblib,7
partner_level,/Users/wangjingzhou/Downloads/JVproject/passive_partner_partner_level_model_data.xlsx,1042,"['partner_country_or_region', 'announcement_year', 'date_precision', 'sector', 'subsector', 'geography', 'cross_border', 'cross_border_binary', 'partner_count', 'deal_or_investment_value', 'currency', 'deal_value_reported_flag', 'equity_JV_flag', 'ownership_equal_50_50_flag', 'ownership_pct_numeric']",label_passive_financial,48,0.046065259117082535,5,random_forest_balanced,0.2973802199665913,0.26324115971174794,0.8693817572712044,0.4400912792183743,0.38461538461538464,0.35714285714285715,0.4166666666666667,0.6902610441767069,0.5403104896123712,/Users/wangjingzhou/Downloads/JVproject/results/partner_level_cv_metrics.csv,/Users/wangjingzhou/Downloads/JVproject/results/partner_level_holdout_metrics.csv,/Users/wangjingzhou/Downloads/JVproject/results/partner_level_holdout_predictions.csv,/Users/wangjingzhou/Downloads/JVproject/results/partner_level_feature_importance.csv,/Users/wangjingzhou/Downloads/JVproject/results/partner_level_best_model.joblib,7
