model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std
random_forest_balanced,0.9155548398969451,0.01777067453281282,0.6418389929445206,0.06517259450899256,0.2304108309990663,0.0539903773160078,0.33999999999999997,0.14012340240386176,0.26324115971174794,0.07014879934698932,0.8693817572712044,0.04299313671919911,0.2973802199665913,0.0987726021634823
hist_gradient_boosting_balanced,0.9318595877806406,0.006371816241094374,0.629172123242475,0.05230922654326647,0.2698717948717949,0.06917138953957032,0.2955555555555555,0.11124436454030068,0.27608225108225104,0.0823083077302089,0.7971585198720877,0.05749535184508756,0.2600586702631698,0.07491829333593476
logistic_regression_balanced,0.8944377990430622,0.025140564255989397,0.6983696259073143,0.05760885903527874,0.22395660605379275,0.06978886073261034,0.4822222222222222,0.11365966091150598,0.30063700918964076,0.0796593251618212,0.8239459925892086,0.060903231926694765,0.2510996446049363,0.08041812769810713
extra_trees_balanced,0.9021163047478836,0.0227577498420151,0.6336850921273032,0.058421589321710085,0.19840080971659918,0.06961509913024659,0.33777777777777773,0.11771486789465803,0.24288460811611,0.07318490886638128,0.8515674331252221,0.04912076729294497,0.2337287746320375,0.07343485813238713
dummy_prior,0.9539381670960617,0.0022816966977041255,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.04606183290393817,0.002281696697704088
