model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_average_precision_mean,cv_average_precision_std
logistic_regression_balanced,0.8560867293625914,0.025978885032782017,0.7285296981499514,0.040251854746547536,0.3916971916971917,0.0917374222597347,0.5666666666666667,0.08888888888888888,0.45456047893118834,0.0623975411578273,0.8478224963035089,0.03972541270511281,0.5360847067040252,0.1025618470989853
random_forest_balanced,0.8950104493207942,0.01944605685488148,0.682469977280104,0.05375683603226442,0.5062987012987012,0.10414005450806696,0.4133333333333333,0.1085027165842996,0.44890756302521007,0.10150537010224263,0.863691081539183,0.053716282727800164,0.5237356993743895,0.13273912166620583
extra_trees_balanced,0.8606844305120168,0.02463049211320047,0.6622092394244292,0.06399224183740128,0.36264957264957265,0.11871410280947552,0.4111111111111111,0.11967032904743344,0.38200045568466623,0.11118253896816242,0.8472180749395939,0.058341814042390215,0.5019851605573876,0.11126834840972563
hist_gradient_boosting_balanced,0.8653343782654128,0.03402674151763188,0.6364135021097047,0.07841883752366051,0.36678876678876676,0.1716253492859711,0.3466666666666667,0.14305312835049852,0.35144087938205587,0.1507700768734151,0.7611161599769195,0.09016116610164795,0.4345118903119022,0.15230150380263968
dummy_prior,0.8949843260188087,0.004342286889402844,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10501567398119123,0.00434228688940284
